Datum;Uhrzeit;Autobahn;Richtung_Start;Richtung_Ende;Streckenabschnitt_Start;Streckenabschnitt_Ende;Art;Laenge;Beschreibung
2011-01-03;13:06:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;13:06:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der rechten Fahrspur.
2011-01-03;13:12:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:12:00;A3;Oberhausen;Köln;Dreieck Langenfeld;Köln-Dellbrück;stockender Verkehr;10;Baustelle
2011-01-03;13:12:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:18:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:18:00;A3;Oberhausen;Köln;Dreieck Langenfeld;Köln-Dellbrück;stockender Verkehr;10;Baustelle
2011-01-03;13:18:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:18:00;A44;Dortmund;Kassel;Lichtenau;Marsberg;Gefahr;NULL;Gefahr durch eine Radkappe auf dem linken Fahrstreifen
2011-01-03;13:24:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:24:00;A3;Oberhausen;Köln;Dreieck Langenfeld;Köln-Dellbrück;stockender Verkehr;10;Baustelle
2011-01-03;13:24:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:24:00;A44;Dortmund;Kassel;Lichtenau;Marsberg;Gefahr;NULL;Gefahr durch eine Radkappe auf dem linken Fahrstreifen
2011-01-03;13:30:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;13:30:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:30:00;A44;Dortmund;Kassel;Lichtenau;Marsberg;Gefahr;NULL;Gefahr durch eine Radkappe auf dem linken Fahrstreifen
2011-01-03;13:30:00;A2;Hannover;Dortmund;Exter;Herford-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem linken Fahrstreifen
2011-01-03;13:36:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:36:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;13:36:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:36:00;A44;Dortmund;Kassel;Lichtenau;Marsberg;Gefahr;NULL;Gefahr durch eine Radkappe auf dem linken Fahrstreifen
2011-01-03;13:36:00;A2;Hannover;Dortmund;Exter;Herford-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem linken Fahrstreifen
2011-01-03;13:42:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:42:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;13:42:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:48:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Bocklemünd;Stau;2;Baustelle
2011-01-03;13:48:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:48:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;13:48:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;13:54:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;13:54:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;13:54:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;13:54:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:00:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;14:00:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:00:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:00:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:06:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;14:06:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:06:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:06:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:12:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;14:12:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:12:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:12:00;A2;Dortmund;Hannover;Bielefeld-Sennestadt;Bielefeld-Zentrum;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle.
2011-01-03;14:12:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:18:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;14:18:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord
2011-01-03;14:18:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:18:00;A2;Dortmund;Hannover;Bielefeld-Sennestadt;Bielefeld-Zentrum;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle.
2011-01-03;14:18:00;A2;Hannover;Dortmund;Kreuz Bad Oeynhausen;Exter;Gefahr;NULL;Gefahr durch Gegenstände auf der Fahrbahn
2011-01-03;14:18:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:24:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;14:24:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:24:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:24:00;A2;Dortmund;Hannover;Bielefeld-Sennestadt;Bielefeld-Zentrum;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle.
2011-01-03;14:24:00;A2;Hannover;Dortmund;Kreuz Bad Oeynhausen;Exter;Gefahr;NULL;Gefahr durch Gegenstände auf der Fahrbahn
2011-01-03;14:24:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Stau;2;Dort steht ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;14:30:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;14:30:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:36:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;14:36:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:36:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:36:00;A2;Hannover;Dortmund;Bad Eilsen;Veltheim;Gefahr;NULL;Gefahr durch einen LKW Reifen auf der Fahrbahn.
2011-01-03;14:42:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;14:42:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:42:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:42:00;A2;Hannover;Dortmund;Bad Eilsen;Veltheim;Gefahr;NULL;Gefahr durch einen LKW Reifen auf der Fahrbahn.
2011-01-03;14:48:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;14:48:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:48:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;14:48:00;A2;Hannover;Dortmund;Bad Eilsen;Veltheim;Gefahr;NULL;Gefahr durch einen LKW Reifen auf der Fahrbahn.
2011-01-03;14:54:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;14:54:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;14:54:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;15:00:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:00:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:00:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;9;Baustelle
2011-01-03;15:00:00;A535;Velbert;Wuppertal;Wülfrath;Wuppertal-Dornap;Gefahr;NULL;Gefahr durch einen Holzbalken auf der Fahrbahn.
2011-01-03;15:06:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:06:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;Stau;6;Baustelle
2011-01-03;15:06:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:06:00;A535;Velbert;Wuppertal;Wülfrath;Wuppertal-Dornap;Gefahr;NULL;Gefahr durch einen Holzbalken auf der Fahrbahn.
2011-01-03;15:12:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:12:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:12:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:12:00;A535;Velbert;Wuppertal;Wülfrath;Wuppertal-Dornap;Gefahr;NULL;Gefahr durch einen Holzbalken auf der Fahrbahn.
2011-01-03;15:18:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:18:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:18:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:24:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:24:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:24:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:30:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:30:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;8;Baustelle
2011-01-03;15:36:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;1;Baustelle
2011-01-03;15:36:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:36:00;A1;Euskirchen;Köln;Frechen;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;15:42:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;15:42:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:42:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;Stau;6;Baustelle
2011-01-03;15:48:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;15:48:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;15:48:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;Stau;6;Baustelle
2011-01-03;15:54:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;15:54:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;15:54:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;Stau;6;Baustelle
2011-01-03;16:00:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:00:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:00:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;16:06:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:06:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:06:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:12:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:12:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:12:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:18:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:18:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:18:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:24:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:24:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:24:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:30:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:30:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:30:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:36:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:36:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:36:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:42:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:42:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:42:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:48:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:48:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:48:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;16:54:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;16:54:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;16:54:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;17:00:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;17:00:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;17:00:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;17:06:00;A1;Köln;Euskirchen;Kreuz Köln-Nord;Köln-Lövenich;stockender Verkehr;3;Baustelle
2011-01-03;17:06:00;A1;Euskirchen;Köln;Kreuz Köln-West;Köln-Bocklemünd;stockender Verkehr;3;Baustelle
2011-01-03;17:06:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;17:12:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:12:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:12:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:12:00;A46;Düsseldorf;Wuppertal;Wuppertal-Elberfeld;Wuppertal-Barmen;stockender Verkehr;2;Baustelle
2011-01-03;17:12:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;stockender Verkehr;7;Baustelle
2011-01-03;17:18:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:18:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:18:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:18:00;A46;Düsseldorf;Wuppertal;Wuppertal-Elberfeld;Wuppertal-Barmen;stockender Verkehr;2;Baustelle
2011-01-03;17:18:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;stockender Verkehr;7;Baustelle
2011-01-03;17:24:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:24:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;4;Baustelle
2011-01-03;17:24:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:24:00;A46;Düsseldorf;Wuppertal;Wuppertal-Varresbeck;Wuppertal-Elberfeld;Stau;2;Baustelle
2011-01-03;17:24:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:30:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;4;Baustelle
2011-01-03;17:30:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:30:00;A46;Düsseldorf;Wuppertal;Wuppertal-Varresbeck;Wuppertal-Elberfeld;Stau;2;Baustelle
2011-01-03;17:30:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:30:00;A31;Bottrop;Lingen (Ems);Gronau/Ochtrup;Ochtrup-Nord;Gefahr;NULL;Gefahr durch durch Gegenstände auf der Fahrbahn
2011-01-03;17:36:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:36:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;4;Baustelle
2011-01-03;17:36:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:36:00;A46;Düsseldorf;Wuppertal;Wuppertal-Varresbeck;Wuppertal-Elberfeld;Stau;2;Baustelle
2011-01-03;17:36:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:36:00;A31;Bottrop;Lingen (Ems);Gronau/Ochtrup;Ochtrup-Nord;Gefahr;NULL;Gefahr durch durch Gegenstände auf der Fahrbahn
2011-01-03;17:42:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:42:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;4;Baustelle
2011-01-03;17:42:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:42:00;A46;Düsseldorf;Wuppertal;Wuppertal-Varresbeck;Wuppertal-Elberfeld;Stau;2;Baustelle
2011-01-03;17:42:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;2;Baustelle
2011-01-03;17:42:00;A31;Bottrop;Lingen (Ems);Gronau/Ochtrup;Ochtrup-Nord;Gefahr;NULL;Gefahr durch durch Gegenstände auf der Fahrbahn
2011-01-03;17:48:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:48:00;A46;Düsseldorf;Wuppertal;Wuppertal-Katernberg;Wuppertal-Elberfeld;Stau;1;Baustelle
2011-01-03;17:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;17:48:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:48:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;stockender Verkehr;2;Baustelle
2011-01-03;17:54:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;17:54:00;A46;Düsseldorf;Wuppertal;Wuppertal-Katernberg;Wuppertal-Elberfeld;Stau;1;Baustelle
2011-01-03;17:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;17:54:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;17:54:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;stockender Verkehr;2;Baustelle
2011-01-03;18:00:00;A52;Marl;Gelsenkirchen;Gelsenkirchen-Scholven;Anschluss B224;Stau;2;Unfall
2011-01-03;18:00:00;A46;Düsseldorf;Wuppertal;Wuppertal-Katernberg;Wuppertal-Elberfeld;Stau;1;Baustelle
2011-01-03;18:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;4;Baustelle
2011-01-03;18:00:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:00:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;stockender Verkehr;2;Baustelle
2011-01-03;18:06:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:06:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;18:12:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:12:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;18:18:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;1;Baustelle
2011-01-03;18:18:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:18:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;18:24:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;1;Baustelle
2011-01-03;18:24:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:24:00;A3;Oberhausen;Frankfurt;Leverkusen-Zentrum;Kreuz Köln-Ost;Stau;8;Baustelle
2011-01-03;18:30:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;1;Baustelle
2011-01-03;18:30:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
2011-01-03;18:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;18:36:00;A40;Essen;Dortmund;Essen-Kray;Gelsenkirchen-Süd;Stau;1;Baustelle
2011-01-03;18:36:00;A1;Köln;Euskirchen;Köln-Bocklemünd;Köln-Lövenich;Stau;2;Baustelle
